Return: 0.7193088531494141ms
w: 0.6661415100097656ms
t: 0.8270740509033203ms
y: 0.2815723419189453ms
u: 1.0421276092529297ms
t: 0.43010711669921875ms
y: 0.09751319885253906ms
r: 0.18334388732910156ms
e: 0.8261203765869141ms
i: 0.29158592224121094ms
o: 0.7691383361816406ms
r: 0.3464221954345703ms
u: 0.2560615539550781ms
i: 0.4253387451171875ms
e: 0.6496906280517578ms
o: 0.3254413604736328ms
w: 0.9336471557617188ms
y: 0.5645751953125ms
w: 0.6418228149414062ms
t: 0.2346038818359375ms
y: 0.10251998901367188ms
r: 0.1392364501953125ms
u: 0.16760826110839844ms
r: 0.8211135864257812ms
u: 0.26679039001464844ms
t: 0.35953521728515625ms
w: 0.6365776062011719ms
o: 0.5173683166503906ms
o: 0.4138946533203125ms
w: 0.48542022705078125ms
y: 0.8251667022705078ms
t: 0.5085468292236328ms
u: 0.5908012390136719ms
y: 0.22649765014648438ms
e: 0.4074573516845703ms
r: 0.1888275146484375ms
t: 0.5385875701904297ms
u: 0.09918212890625ms
i: 0.19288063049316406ms
o: 0.1327991485595703ms
r: 0.12969970703125ms
e: 0.32830238342285156ms
i: 0.3628730773925781ms
w: 0.9667873382568359ms
o: 0.6544589996337891ms
y: 0.8196830749511719ms
w: 0.8487701416015625ms
u: 0.4703998565673828ms
y: 0.5419254302978516ms
u: 0.40912628173828125ms
t: 0.23365020751953125ms
e: 1.0619163513183594ms
r: 0.4966259002685547ms
u: 0.3573894500732422ms
i: 0.3643035888671875ms
t: 0.5853176116943359ms
w: 0.3418922424316406ms
o: 0.7510185241699219ms
r: 0.2865791320800781ms
u: 0.21910667419433594ms
e: 0.396728515625ms
i: 0.12493133544921875ms
o: 0.09751319885253906ms
w: 0.6768703460693359ms
5: 0.5898475646972656ms
4: 0.6437301635742188ms
7: 0.25200843811035156ms
6: 0.5395412445068359ms
4: 0.39458274841308594ms
5: 0.48828125ms
7: 0.15664100646972656ms
6: 0.09751319885253906ms
0: 0.3006458282470703ms
3: 0.7944107055664062ms
9: 0.6697177886962891ms
8: 1.4688968658447266ms
3: 0.7047653198242188ms
9: 0.3230571746826172ms
8: 0.34499168395996094ms
0: 0.7128715515136719ms
6: 0.49757957458496094ms
6: 1.522064208984375ms
4: 1.8301010131835938ms
5: 0.9210109710693359ms
4: 0.7865428924560547ms
5: 0.2872943878173828ms
h: 0.5655288696289062ms
h: 0.7724761962890625ms
d: 0.8356571197509766ms
g: 0.32138824462890625ms
f: 0.30040740966796875ms
d: 0.8871555328369141ms
g: 0.39315223693847656ms
f: 0.2644062042236328ms
b: 0.6036758422851562ms
b: 0.5090236663818359ms
n: 0.8971691131591797ms
n: 0.7307529449462891ms
b: 0.8418560028076172ms
x: 0.5774497985839844ms
c: 0.2079010009765625ms
v: 0.13756752014160156ms
n: 1.0297298431396484ms
b: 0.8280277252197266ms
x: 0.24175643920898438ms
c: 0.2307891845703125ms
v: 0.22602081298828125ms
n: 0.2498626708984375ms
b: 0.8478164672851562ms
b: 0.7953643798828125ms
n: 0.4284381866455078ms
m: 0.37980079650878906ms
c: 0.9133815765380859ms
v: 0.4515647888183594ms
n: 0.8935928344726562ms
m: 0.7834434509277344ms
v: 0.37217140197753906ms
c: 0.3707408905029297ms
b: 1.4824867248535156ms
n: 1.7862319946289062ms
n: 1.1887550354003906ms
c: 1.5997886657714844ms
v: 0.6527900695800781ms
c: 0.8528232574462891ms
v: 0.9849071502685547ms
n: 0.5114078521728516ms
m: 0.16999244689941406ms
c: 0.8683204650878906ms
v: 0.3476142883300781ms
b: 0.8676052093505859ms
n: 0.4458427429199219ms
c: 0.6592273712158203ms
v: 0.5087852478027344ms
m: 0.34928321838378906ms
k: 0.6113052368164062ms
s: 1.2936592102050781ms
l: 0.34356117248535156ms
k: 0.8141994476318359ms
d: 0.3685951232910156ms
s: 0.7610321044921875ms
g: 0.47469139099121094ms
l: 0.6158351898193359ms
d: 0.2574920654296875ms
h: 0.759124755859375ms
g: 0.6313323974609375ms
h: 0.4267692565917969ms
l: 0.20599365234375ms
s: 0.9801387786865234ms
l: 0.5121231079101562ms
s: 0.5114078521728516ms
g: 0.6387233734130859ms
j: 0.5435943603515625ms
s: 0.5600452423095703ms
g: 0.48470497131347656ms
j: 0.42700767517089844ms
h: 0.8232593536376953ms
s: 0.3311634063720703ms
j: 0.270843505859375ms
h: 0.1583099365234375ms
k: 0.28204917907714844ms
l: 0.2143383026123047ms
j: 0.48041343688964844ms
g: 0.2434253692626953ms
k: 0.45180320739746094ms
l: 0.1201629638671875ms
g: 0.6000995635986328ms
h: 0.19025802612304688ms
h: 0.5090236663818359ms
e: 0.6134510040283203ms
e: 0.6854534149169922ms
w: 1.4240741729736328ms
w: 0.7090568542480469ms
6: 0.6053447723388672ms
u: 0.23651123046875ms
i: 0.2906322479248047ms
o: 0.152587890625ms
i: 0.4305839538574219ms
u: 0.5049705505371094ms
o: 0.3190040588378906ms
6: 0.7102489471435547ms
6: 1.0886192321777344ms
6: 0.5412101745605469ms
3: 0.7340908050537109ms
4: 4.415750503540039ms
5: 5.733013153076172ms
3: 0.4248619079589844ms
4: 0.10585784912109375ms
5: 0.09465217590332031ms
6: 0.5331039428710938ms
6: 0.4687309265136719ms
4: 1.4317035675048828ms
5: 0.4639625549316406ms
6: 0.40459632873535156ms
4: 0.6227493286132812ms
5: 0.17714500427246094ms
6: 0.17189979553222656ms
p: 0.6763935089111328ms
p: 0.8144378662109375ms
o: 0.6206035614013672ms
p: 0.1380443572998047ms
p: 0.6034374237060547ms
o: 0.6928443908691406ms
9: 0.8666515350341797ms
0: 0.3693103790283203ms
9: 0.8580684661865234ms
k: 0.39839744567871094ms
0: 0.9722709655761719ms
k: 0.8437633514404297ms
k: 1.0423660278320312ms
l: 0.8749961853027344ms
u: 0.9605884552001953ms
i: 0.3712177276611328ms
semicolon: 0.38623809814453125ms
k: 0.6601810455322266ms
l: 0.301361083984375ms
semicolon: 0.2543926239013672ms
u: 0.644683837890625ms
i: 0.2779960632324219ms
k: 0.8308887481689453ms
l: 1.4193058013916016ms
k: 0.5242824554443359ms
l: 0.12326240539550781ms
o: 0.5850791931152344ms
p: 1.1234283447265625ms
o: 0.5273818969726562ms
g: 0.29397010803222656ms
f: 0.3643035888671875ms
h: 0.7128715515136719ms
p: 0.4780292510986328ms
g: 0.8330345153808594ms
f: 0.2999305725097656ms
h: 0.32138824462890625ms
8: 1.3189315795898438ms
9: 0.3864765167236328ms
8: 0.8940696716308594ms
9: 0.2968311309814453ms
d: 0.8993148803710938ms
g: 0.46706199645996094ms
f: 0.9067058563232422ms
n: 0.6706714630126953ms
j: 0.6113052368164062ms
j: 0.8091926574707031ms
d: 0.6153583526611328ms
g: 0.2257823944091797ms
f: 0.11563301086425781ms
n: 0.3094673156738281ms
j: 1.5730857849121094ms
k: 0.6844997406005859ms
g: 1.0571479797363281ms
f: 1.0225772857666016ms
d: 4.463911056518555ms
j: 0.5846023559570312ms
k: 0.21839141845703125ms
g: 0.8132457733154297ms
f: 0.3325939178466797ms
d: 0.36835670471191406ms
n: 0.6148815155029297ms
m: 1.1761188507080078ms
comma: 1.0831356048583984ms
n: 0.6120204925537109ms
x: 0.5922317504882812ms
c: 0.1964569091796875ms
m: 0.3135204315185547ms
comma: 0.10466575622558594ms
x: 0.4749298095703125ms
c: 0.14472007751464844ms
v: 0.644683837890625ms
n: 0.6639957427978516ms
v: 0.8671283721923828ms
m: 0.8883476257324219ms
n: 0.28133392333984375ms
comma: 1.096487045288086ms
m: 0.47278404235839844ms
comma: 0.21839141845703125ms
x: 0.6091594696044922ms
c: 1.0831356048583984ms
m: 0.7841587066650391ms
comma: 0.7228851318359375ms
x: 0.36334991455078125ms
c: 0.1239776611328125ms
m: 0.10061264038085938ms
comma: 0.1087188720703125ms
j: 0.7727146148681641ms
k: 0.1404285430908203ms
j: 0.8513927459716797ms
k: 0.3056526184082031ms
s: 0.8845329284667969ms
d: 0.9083747863769531ms
h: 1.7118453979492188ms
f: 1.331329345703125ms
s: 0.8575916290283203ms
d: 0.3085136413574219ms
f: 0.2658367156982422ms
h: 0.8091926574707031ms
u: 0.4906654357910156ms
i: 0.5242824554443359ms
u: 0.7250308990478516ms
i: 0.2734661102294922ms
2: 0.9171962738037109ms
3: 0.49114227294921875ms
u: 1.0657310485839844ms
i: 0.8673667907714844ms
2: 0.40841102600097656ms
3: 0.6785392761230469ms
u: 0.8754730224609375ms
i: 0.3027915954589844ms
2: 1.163482666015625ms
2: 0.7140636444091797ms
7: 0.6048679351806641ms
8: 0.5180835723876953ms
8: 0.6978511810302734ms
7: 0.8270740509033203ms
5: 0.3669261932373047ms
5: 0.49114227294921875ms
2: 0.1900196075439453ms
9: 0.1552104949951172ms
2: 0.7803440093994141ms
9: 0.24008750915527344ms
5: 1.058816909790039ms
5: 0.37670135498046875ms
3: 0.4687309265136719ms
4: 0.41747093200683594ms
7: 0.8893013000488281ms
9: 0.2777576446533203ms
7: 0.5304813385009766ms
2: 0.18358230590820312ms
3: 0.4379749298095703ms
4: 0.095367431640625ms
2: 0.08726119995117188ms
9: 0.408172607421875ms
s: 0.9784698486328125ms
d: 0.33783912658691406ms
g: 0.33164024353027344ms
f: 0.9968280792236328ms
s: 0.6754398345947266ms
d: 0.22411346435546875ms
g: 0.37360191345214844ms
f: 0.2856254577636719ms
b: 0.6508827209472656ms
b: 0.49424171447753906ms
n: 0.8158683776855469ms
x: 0.8890628814697266ms
c: 0.28133392333984375ms
n: 0.5691051483154297ms
m: 0.6437301635742188ms
c: 0.8454322814941406ms
m: 0.8463859558105469ms
x: 0.7483959197998047ms
j: 1.009225845336914ms
j: 0.5395412445068359ms
s: 0.31828880310058594ms
d: 0.7059574127197266ms
f: 0.5452632904052734ms
g: 0.41604042053222656ms
s: 0.705718994140625ms
d: 0.23245811462402344ms
g: 0.7908344268798828ms
f: 0.6504058837890625ms
u: 1.8613338470458984ms
i: 0.6401538848876953ms
w: 0.7348060607910156ms
e: 0.14162063598632812ms
u: 0.3631114959716797ms
i: 0.25177001953125ms
w: 0.8187294006347656ms
r: 0.40078163146972656ms
e: 0.6244182586669922ms
r: 0.5199909210205078ms
b: 0.8666515350341797ms
b: 0.7512569427490234ms
r: 0.49948692321777344ms
e: 0.8111000061035156ms
t: 0.30517578125ms
r: 0.8716583251953125ms
e: 0.3113746643066406ms
h: 0.7014274597167969ms
t: 0.7348060607910156ms
j: 0.39696693420410156ms
h: 0.7512569427490234ms
j: 0.22530555725097656ms
h: 1.064300537109375ms
h: 0.6835460662841797ms
e: 1.0364055633544922ms
e: 0.7956027984619141ms
l: 0.9691715240478516ms
l: 0.8120536804199219ms
l: 0.9534358978271484ms
l: 0.7300376892089844ms
o: 1.1894702911376953ms
o: 0.7915496826171875ms
w: 0.9305477142333984ms
w: 0.8890628814697266ms
o: 0.9405612945556641ms
o: 0.8065700531005859ms
r: 0.5238056182861328ms
r: 0.7662773132324219ms
l: 0.9937286376953125ms
l: 0.7874965667724609ms
d: 0.9024143218994141ms
d: 0.7784366607666016ms
1: 1.0867118835449219ms
2: 0.4935264587402344ms
3: 0.5190372467041016ms
3: 0.5598068237304688ms
2: 0.8611679077148438ms
k: 0.5552768707275391ms
j: 0.5643367767333984ms
1: 0.7200241088867188ms
j: 0.7517337799072266ms
k: 0.7643699645996094ms
b: 1.3811588287353516ms
n: 0.8957386016845703ms
b: 0.4322528839111328ms
n: 0.5924701690673828ms
v: 0.7472038269042969ms
n: 0.8082389831542969ms
b: 1.5184879302978516ms
m: 0.6861686706542969ms
b: 0.7865428924560547ms
x: 0.46563148498535156ms
c: 0.3676414489746094ms
n: 0.70953369140625ms
m: 0.81634521484375ms
x: 0.7770061492919922ms
c: 0.2593994140625ms
v: 0.6299018859863281ms
Escape: 0.9412765502929688ms
